truth_azimuth_deg,truth_elevation_deg,rx_order,tx_order,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,score,identity_order
10.0,2.0,"1,2,0,3","3,1,0,2",-18.0,-5.0,-28.0,-7.0,0.5787651212771057,False
10.0,2.0,"1,2,0,3","3,1,2,0",33.0,18.0,23.0,16.0,0.5837916530830325,False
10.0,2.0,"1,2,0,3","3,2,0,1",-50.0,-13.0,-60.0,-15.0,0.44956122914558805,False
10.0,2.0,"1,2,0,3","3,2,1,0",2.0,-10.0,-8.0,-12.0,0.5613384343336274,False
10.0,2.0,"1,2,3,0","0,1,2,3",-25.0,0.0,-35.0,-2.0,0.8336379234812121,False
10.0,2.0,"1,2,3,0","0,1,3,2",-12.0,12.0,-22.0,10.0,0.821704630837864,False
10.0,2.0,"1,2,3,0","0,2,1,3",-47.0,-7.0,-57.0,-9.0,0.7933355515189751,False
10.0,2.0,"1,2,3,0","0,2,3,1",-47.0,-7.0,-57.0,-9.0,0.5766307619252664,False
10.0,2.0,"1,2,3,0","0,3,1,2",33.0,10.0,23.0,8.0,0.7876053306923902,False
10.0,2.0,"1,2,3,0","0,3,2,1",-34.0,-8.0,-44.0,-10.0,0.8132922087818643,False
10.0,2.0,"1,2,3,0","1,0,2,3",-57.0,-7.0,-67.0,-9.0,0.7355987135895999,False
10.0,2.0,"1,2,3,0","1,0,3,2",-6.0,10.0,-16.0,8.0,0.7694897551837194,False
10.0,2.0,"1,2,3,0","1,2,0,3",-27.0,-3.0,-37.0,-5.0,0.6377253963264321,False
10.0,2.0,"1,2,3,0","1,2,3,0",-21.0,-17.0,-31.0,-19.0,0.5739102333439466,False
10.0,2.0,"1,2,3,0","1,3,0,2",58.0,-7.0,48.0,-9.0,0.8284189072375241,False
10.0,2.0,"1,2,3,0","1,3,2,0",-12.0,-12.0,-22.0,-14.0,0.8202146255099224,False
10.0,2.0,"1,2,3,0","2,0,1,3",-12.0,12.0,-22.0,10.0,0.5533776527918902,False
10.0,2.0,"1,2,3,0","2,0,3,1",33.0,-20.0,23.0,-22.0,0.7578808230908786,False
10.0,2.0,"1,2,3,0","2,1,0,3",30.0,13.0,20.0,11.0,0.8256197849482791,False
10.0,2.0,"1,2,3,0","2,1,3,0",-18.0,5.0,-28.0,3.0,0.8186955364710261,False
10.0,2.0,"1,2,3,0","2,3,0,1",-58.0,-13.0,-68.0,-15.0,0.8258625134389471,False
10.0,2.0,"1,2,3,0","2,3,1,0",35.0,11.0,25.0,9.0,0.7851156450645351,False
10.0,2.0,"1,2,3,0","3,0,1,2",-18.0,5.0,-28.0,3.0,0.5476762778197544,False
10.0,2.0,"1,2,3,0","3,0,2,1",55.0,7.0,45.0,5.0,0.7341513501286487,False
10.0,2.0,"1,2,3,0","3,1,0,2",-18.0,-5.0,-28.0,-7.0,0.8034558075879054,False
10.0,2.0,"1,2,3,0","3,1,2,0",36.0,-5.0,26.0,-7.0,0.8125387765791998,False
10.0,2.0,"1,2,3,0","3,2,0,1",-50.0,-13.0,-60.0,-15.0,0.6469943949494854,False
10.0,2.0,"1,2,3,0","3,2,1,0",-21.0,-17.0,-31.0,-19.0,0.7956834742819966,False
10.0,2.0,"1,3,0,2","0,1,2,3",14.0,7.0,4.0,5.0,0.6380822030878499,False
10.0,2.0,"1,3,0,2","0,1,3,2",-23.0,-13.0,-33.0,-15.0,0.6583787533132792,False
10.0,2.0,"1,3,0,2","0,2,1,3",-15.0,17.0,-25.0,15.0,0.6117444809461997,False
10.0,2.0,"1,3,0,2","0,2,3,1",-53.0,10.0,-63.0,8.0,0.4530850842271196,False
10.0,2.0,"1,3,0,2","0,3,1,2",18.0,-5.0,8.0,-7.0,0.6109180146162931,False
10.0,2.0,"1,3,0,2","0,3,2,1",12.0,9.0,2.0,7.0,0.6390992644511473,False
10.0,2.0,"1,3,0,2","1,0,2,3",-22.0,20.0,-32.0,18.0,0.574305082945599,False
10.0,2.0,"1,3,0,2","1,0,3,2",2.0,18.0,-8.0,16.0,0.6007830472115612,False
